A1,294428,309116,350526,382802,435092,475357,521264,594000,629946,714660,779795,867662,956602,1058295,1214353,1383965,1565376,1811553,2199159,2609879,3125023,3697367,4402431,5076477,5836135,6549798,7234821,7853773,8628151,9175333,9831754,10287592,10888545,11415522,11906524,12399264,12885583,13365668,13761680,14120357,14499009,14784340,15126574,15367875,15696743,15937864,16152704,16269910,16335208,16191121,16017716,15784513,15493615,15204785,14931536,14681740,14453337,14230210,14042576,13947052,13842206,13768965,13707681,13704643,13671568,13690624,13650026,13641660,13596928,13538414,13477282,13473058,13434247,13617575,13733273,14084018,14630447,15706072,17303637,19535939,22536618,26004574,29211413,32272589,34345238,36206254,36735067,36719646,35808181,35183827,34205834,33919811,33473160,33410997,33238399,33566617,34171650,35286681,36906731,39076843,41687407,44097023,46083993,47615852,48520660,48857526,48637809,47902016,46450071,44706058,42749886,40848078,38725543,36899738,35032610,33352749,31664922,30092689,28682519,27348616,26294302,25399219,24692952,24125640,23704154,23374412,23125259,22886533,22753114,22560057,22354829,22160375,21918318,21630129,21331315,20900812,20445609,19811017,19161993,18533039,17993631,17435377,16994367,16492160,16102436,15666001,15258677,14885381,14499762,14103632,13747495,13309439,12921067,12481602,12047965,11560919,11061242,10566016,10038177,9470666,8932776,8426254,7905838,7414386,6940226,6495522,6054809,5639548,5219820,4862158,4526189,4215978,3943726,3672505,3456880,3251743,3074493,2921746,2765210,2644773,2531511,2438244,2346648,2272424,2211774,2150041,2083055,2058294,2025675,1979041,1952687,1925961,1899105,1876120,1836873,1819324,1778722,1754425,1720460,1680475,1631242,1594274,1545950,1490320,1432421,1380984,1322410,1262669,1203476,1147077,1092405,1049275,1004570,956556,888336,847248,809036,775889,743895,693774,669943,635740,611943,597025,562985,543394,523602,508511,487661,467534,455752,444070,428688,413968,400159,389192,371966,360596,345519,334031,325843,316959,305689,296310,285309,279844,267299,260316,250640,245395,239275
A2,291206,313197,336579,392532,437546,472235,513103,578556,629570,700417,789592,855644,976311,1051039,1192131,1342974,1570045,1810302,2160255,2549717,3102712,3689925,4335688,4994145,5745792,6434055,7169537,7784084,8572402,9111685,9712014,10270327,10832850,11342947,11800271,12311635,12772265,13237082,13678399,14091516,14487696,14732981,15084885,15384860,15809243,16039614,16362607,16479183,16496365,16349140,16200724,15920077,15641129,15314770,15030550,14802821,14568088,14327431,14197426,14035136,13871576,13827291,13780324,13803256,13761326,13804883,13731817,13774783,13686219,13690131,13537427,13582531,13621789,13718049,13813369,14176542,14732568,15778176,17325631,19548688,22447578,25902631,29122750,32201898,34260995,36061871,36510918,36676871,35738282,35096254,34088094,33819999,33284046,33147461,33134965,33437182,33954946,35087938,36796545,38903676,41399698,43857779,45856428,47351660,48287248,48743724,48485641,47606487,46296796,44699592,42670240,40685763,38666806,36811609,34977242,33281636,31599659,30002038,28561765,27301774,26221835,25260541,24536478,23996245,23623733,23298320,23023276,22825226,22664632,22428793,22231931,22055954,21849579,21538629,21245427,20877661,20369784,19699666,19100740,18506027,17870613,17377305,16896978,16438070,16009508,15588753,15217829,14844477,14447495,14076292,13695631,13290344,12903187,12442297,12015231,11518288,11024792,10528763,10008014,9481048,8911602,8419476,7903223,7394984,6937280,6470995,6042652,5627208,5216318,4849462,4521621,4211821,3933999,3677950,3452720,3242976,3065511,2904835,2762895,2654224,2525571,2444822,2349984,2276962,2205732,2150041,2091994,2051273,2010161,1972599,1949447,1914447,1882692,1871015,1844706,1805329,1782212,1742544,1711242,1668714,1630980,1589255,1532966,1493111,1430556,1385133,1328106,1265292,1203065,1152873,1087508,1048850,1000802,952683,898577,853306,811546,776443,743158,703009,670992,637217,611849,590813,572555,544692,526027,507758,486020,473901,461519,440747,426384,414170,403425,387759,374519,362169,345314,338289,326512,313998,304493,294836,284707,276362,270548,262275,252740,243689,237737
A3,281127,311081,343399,385660,418293,454235,492457,572155,617647,681875,744670,824852,901256,999249,1112111,1282961,1449346,1703249,2039418,2395064,2906670,3436618,4071239,4682415,5329155,6024611,6657807,7310617,7931720,8445838,9132587,9615833,10103794,10582500,11095706,11602191,12061213,12628512,13199701,13841421,14377943,14883892,15415525,15991601,16626742,17360533,17898585,18222330,18207399,18003497,17714763,17137864,16676388,16200375,15797410,15441753,15226547,15055918,14830606,14694905,14608646,14542540,14501219,14541839,14515533,14585007,14543038,14541264,14470535,14435678,14344991,14415644,14432089,14513574,14590451,14953057,15379992,16314047,17644670,19733085,22259657,25400373,28361320,31195127,33148720,34837410,35268149,35348234,34416270,33871991,32918293,32640962,32106575,32104291,31998541,32340064,32884471,34007961,35619175,37641971,40161800,42606043,44640197,46117467,47128143,47590541,47338819,46670408,45274138,43663320,41677160,39715454,37700374,35866675,34059581,32477419,30753326,29208846,27806434,26545410,25471360,24545583,23874669,23368070,22920210,22578561,22349398,22196600,21958734,21769900,21601600,21398901,21222362,20965137,20703711,20247528,19730588,19149781,18583782,17958734,17418460,16923375,16426456,15990713,15623951,15214991,14813538,14432166,14083827,13699041,13326430,12951906,12546685,12129338,11678168,11206407,10765086,10266458,9776629,9257568,8736034,8214415,7726161,7247963,6803447,6329017,5914226,5516169,5115462,4783833,4446817,4156853,3851894,3615559,3395821,3201552,3002461,2867567,2725809,2611846,2495363,2406044,2332291,2234772,2177431,2108698,2063353,2012557,1986623,1953901,1925283,1893522,1866609,1857252,1813730,1791682,1766757,1722786,1687112,1664461,1606532,1564593,1517514,1473659,1423722,1366264,1305960,1257675,1201783,1138933,1088163,1048487,994903,946207,891657,836263,803510,774041,739549,696659,666375,630756,607135,589901,563180,538294,526249,499214,483111,467990,451527,436194,423836,412394,393486,383866,366389,361843,345365,334804,325307,309476,303770,293274,283748,270469,262234,257393,247751,237547,236107
A4,285070,310676,339477,366289,426061,459766,503977,563388,602341,675980,730101,817941,913589,994393,1106942,1246312,1449393,1693815,2030292,2393712,2877798,3431804,4070340,4714789,5399370,6089153,6717092,7420070,8029232,8665403,9203095,9765575,10278542,10821226,11195739,11722427,12222639,12727922,13181924,13680946,14189992,14554351,14990522,15440318,15953827,16419870,16799361,17046785,17088976,16937785,16693092,16328936,15921695,15538576,15221749,14949291,14652791,14453726,14268353,14150861,14052388,13998436,13956493,13989070,13995356,14068982,14056688,14027125,13948907,13994770,13949694,14013422,14017841,14138141,14201408,14493232,14917129,15721344,16844141,18763092,21068532,24080452,26901674,29693586,31647384,33381667,33912377,34040169,33210988,32586758,31594634,31286814,30832858,30724961,30588021,30844745,31293175,32232728,33673272,35654358,38057977,40441007,42471871,44131808,45127215,45679793,45611357,44937772,43656334,42083058,40246729,38311705,36325402,34595730,32877051,31248719,29645583,28219490,26820578,25574181,24590384,23693423,23022251,22439742,22059199,21767604,21519947,21292457,21194248,20967421,20793659,20606679,20463533,20205671,19876072,19545896,19106760,18527078,17943348,17368770,16827383,16299886,15895473,15455808,15055466,14659030,14296720,13919767,13578116,13213850,12866030,12496840,12120375,11711152,11309609,10844925,10377264,9923014,9454207,8944324,8416098,7949994,7481828,7007279,6574683,6134182,5722310,5335114,4963871,4646014,4305703,4054086,3749432,3528069,3306665,3116485,2951242,2778573,2651084,2529632,2424580,2320246,2252059,2154539,2103719,2039849,1999600,1957202,1913225,1883912,1863010,1832997,1800840,1774075,1759106,1724666,1700331,1664463,1633124,1598958,1559725,1514361,1468976,1430744,1377568,1322255,1272747,1221761,1163277,1115634,1062693,1006205,961310,919593,863052,818162,776687,751191,709805,675516,645855,611842,586544,564311,551149,530691,507326,492425,471681,450552,438671,422515,410582,401166,380490,372982,360907,344809,334954,324530,312588,301100,292105,287208,274628,268758,256796,246571,242629,235913,225222
A5,281831,326216,330588,371069,425091,459415,496477,553224,571703,662268,719293,779510,892919,967442,1079547,1253957,1409179,1639323,1946778,2293497,2785987,3284294,3868062,4535151,5131978,5794887,6443516,7051572,7681678,8281084,8789521,9340238,9810666,10324856,10774874,11203796,11842114,12400106,12890390,13504590,14094170,14606760,15191677,15809784,16533014,17218377,17817257,18149039,18234887,17937393,17599933,17053787,16600503,16056157,15688719,15351441,15073243,14818984,14669548,14511600,14442411,14389703,14404376,14449031,14413894,14470038,14512125,14488055,14465485,14434157,14415059,14433324,14450213,14552937,14691868,14924151,15297320,16066229,17175936,18900688,21231729,24024245,26781153,29398815,31278688,32950417,33413181,33513472,32725465,32157914,31161994,30871310,30431506,30272884,30195505,30447347,30972824,31930449,33404228,35386574,37773914,40092086,42236652,43811612,44782848,45357966,45328979,44723186,43346457,41824216,39944128,38087126,36106581,34357933,32608716,30902607,29360463,27903950,26570913,25333733,24279074,23434591,22739877,22227802,21825239,21503744,21308491,21086738,20900602,20735425,20556125,20384576,20208013,19955043,19670126,19330745,18911716,18296800,17732541,17136603,16653945,16132339,15702302,15310486,14912000,14494950,14135437,13789534,13459830,13078199,12714890,12377278,11970014,11581305,11183477,10742388,10291277,9822754,9356002,8850193,8341652,7871451,7399120,6902994,6489302,6075975,5670327,5284421,4921164,4598219,4274350,3995330,3728600,3494780,3266742,3090570,2923300,2755096,2634299,2512328,2408201,2300016,2220888,2153285,2089158,2031054,1974719,1938208,1893700,1868490,1840525,1824576,1792562,1774156,1737745,1711222,1685074,1658325,1625784,1589082,1548421,1512334,1467287,1421404,1364432,1309359,1265951,1208416,1157799,1107690,1051473,1009271,961799,913898,866639,812359,777335,746858,714864,673688,646687,616395,588828,570723,547641,523824,505258,487449,467610,451111,438849,427749,413284,397138,385583,371176,360739,343508,335335,324977,317123,302496,292276,283967,274905,266406,259533,249013,240707,237564,228154
A6,116363,137181,166363,205341,242048,284884,338192,400219,445503,526975,585800,683122,781707,897037,1000364,1173041,1369092,1630085,1960989,2403923,2910431,3523121,4163040,4854466,5552919,6292752,7047531,7643117,8385191,8982097,9558745,10122855,10690041,11154896,11654684,12129768,12570061,13036215,13473435,13840603,14199030,14472414,14749331,15063832,15371006,15628263,15896418,15999674,16001704,15916324,15686733,15474742,15147612,14839775,14555504,14344117,14050084,13859349,13665436,13529559,13352569,13297134,13218924,13212329,13185491,13199769,13135497,13085927,13000435,12948743,12827587,12838054,12835731,12923917,12951033,13241966,13671096,14600497,15883131,17885294,20440843,23577506,26545457,29411730,31424479,33081502,33546066,33719351,32873170,32259860,31313076,31068418,30536282,30536117,30456030,30736253,31248304,32257828,33834397,35835857,38191582,40639119,42715997,44258055,45258984,45739283,45652680,44884247,43591570,41990451,40093564,38075337,36158099,34367640,32540619,30883464,29297432,27799339,26371262,25158987,24123234,23224158,22517898,21955847,21588351,21243593,20984997,20768513,20636689,20394599,20213198,20020492,19843040,19532599,19256545,18878327,18426955,17814496,17297295,16694351,16159513,15668140,15258469,14810750,14397664,14051151,13658864,13297030,12950423,12612669,12262049,11864877,11487747,11101527,10672510,10229712,9823499,9342045,8874969,8375063,7906991,7433415,6990762,6520716,6105083,5702665,5301230,4954415,4604007,4309892,4013861,3745805,3487808,3266467,3051780,2883205,2717208,2591685,2455692,2335341,2238177,2141639,2069893,1996789,1945795,1875362,1846030,1796666,1773791,1749614,1720151,1692720,1660213,1648517,1634665,1597356,1575260,1550579,1508373,1481050,1443060,1402942,1351722,1316251,1262258,1214748,1171370,1122539,1064199,1015867,970152,920000,876998,837167,784572,747887,710640,681798,650042,612300,579859,555462,531945,513630,493997,472992,453405,437594,413620,406169,392742,384043,363345,356649,345289,331334,313110,307103,291518,286337,272787,266179,255918,241223,239545,227931,221859,210553,208034,199674,192808
A7,107832,131543,161948,198500,238433,286163,343503,397486,453439,519282,588342,646796,765048,871907,1005792,1156284,1363291,1620592,1981324,2381603,2887112,3467303,4102828,4799071,5521199,6207870,6974329,7577212,8253525,8876621,9468164,10041074,10573130,11024307,11533668,12021138,12505097,12934830,13351846,13783727,14150751,14490454,14796154,15190959,15607689,15922697,16154813,16344394,16379049,16255054,15984458,15695827,15307672,15031518,14747744,14467704,14187856,13988445,13806925,13662881,13522878,13458881,13403850,13358861,13331378,13336395,13327810,13218826,13158018,13126101,13037166,13041152,12985995,13085715,13162600,13431926,13901014,14735949,16019347,17983053,20534822,23569483,26525888,29334127,31323113,32976434,33427407,33620343,32773544,32133042,31240231,30888786,30481114,30413305,30266585,30607349,31105544,32099349,33611693,35606775,38028943,40442733,42532114,44077348,45028839,45562806,45453338,44745583,43411569,41792855,39927246,37990581,36013395,34240806,32435550,30773134,29172949,27693769,26279857,25023269,24053373,23122913,22430346,21879627,21510581,21157734,20898227,20632841,20530545,20308122,20116839,19942685,19756466,19437829,19179094,18798734,18345353,17771100,17157955,16605285,16091750,15581098,15186235,14749350,14340333,13982079,13618061,13267625,12905519,12567865,12201185,11839625,11431875,11048951,10643953,10196639,9764756,9319923,8874727,8341515,7887734,7407149,6962616,6500818,6101001,5676272,5301972,4951665,4619798,4300551,3982904,3750310,3479433,3263353,3038046,2873680,2699621,2561403,2436748,2327837,2232151,2134550,2067523,1987782,1926905,1868875,1836249,1799977,1764734,1737146,1716726,1692886,1662871,1634384,1611516,1605861,1577662,1537225,1507099,1480707,1438863,1390947,1362726,1316321,1267827,1226780,1170654,1114953,1067586,1013149,960955,920989,881228,833830,786258,746489,710166,680872,647874,612508,583538,552956,528924,514137,491530,466968,451541,432193,418657,406772,386513,380900,368043,353425,336744,324457,312279,300852,294970,279532,271965,260892,256502,244379,239312,230977,221189,211439,205718,199242,192646
A8,108309,123490,159869,194750,224848,270814,320114,381196,428617,485155,551400,631708,715619,813396,947818,1083201,1269612,1520001,1821489,2230284,2724317,3246186,3884835,4474808,5161550,5870211,6520864,7187227,7757723,8392969,8934274,9437436,10005882,10396506,10945001,11397606,11899871,12393867,12952563,13475395,13997303,14472318,14965014,15521949,16129275,16675820,17232861,17422243,17479164,17257853,16981779,16487011,16040959,15564199,15185321,14888100,14573903,14358986,14160096,14030924,13924698,13864266,13843346,13813079,13787591,13847758,13767689,13699514,13683707,13634850,13516619,13526442,13519040,13618386,13661383,14002449,14372892,15133950,16298472,18140873,20432686,23258533,26109206,28773856,30602385,32251379,32759449,32917749,32049744,31450695,30537240,30267531,29780673,29742388,29657950,29921979,30456550,31436052,32853753,34737503,37218198,39688269,41682271,43323273,44381756,44904074,44751687,44124102,42960720,41253681,39400758,37513663,35595953,33739638,31949460,30355851,28769533,27260253,25904393,24668781,23640604,22713241,22066953,21549925,21088845,20763375,20556511,20312712,20147750,19953341,19757535,19618411,19341853,19113022,18874612,18494949,18054957,17497132,16946458,16373448,15835947,15377145,14940906,14491756,14168981,13796058,13415302,13077373,12729235,12407056,12025686,11654611,11296538,10891872,10502924,10068157,9681074,9205059,8747702,8242543,7784017,7321551,6883001,6440515,6038717,5635894,5263871,4919184,4572309,4258794,3950077,3707423,3447823,3231604,3026466,2862958,2675978,2549678,2433558,2309914,2217495,2124548,2048554,1972088,1924440,1869627,1824059,1780785,1755855,1728911,1701945,1688343,1662039,1639951,1607893,1582617,1571077,1532427,1499882,1471705,1435132,1391146,1349341,1307335,1258634,1213662,1159791,1118852,1067226,1015837,968226,919062,880310,833781,791209,742490,707330,682803,647203,612602,583561,550520,530866,508971,491027,469158,454005,434899,419163,401158,392066,378242,366061,351751,338163,326879,310898,304541,288288,278539,269893,261560,256142,244624,234415,223698,218498,213942,203756,195751,189000
A9,112253,126979,155584,195000,228000,288023,312841,382198,430264,486185,549749,639412,726699,817396,937534,1076727,1257750,1504323,1807109,2230325,2702983,3189621,3812764,4404988,5104302,5808713,6438880,7104863,7702537,8279168,8833829,9342926,9839253,10328435,10743567,11295689,11790537,12313576,12885202,13410246,13994798,14514401,15048349,15542784,16261825,16906418,17446951,17685334,17808681,17509573,17224965,16698272,16221082,15732939,15321834,15013020,14746151,14482958,14301270,14181624,14026425,14003828,13946069,13964310,13904827,13901189,13906769,13856085,13778159,13773949,13722975,13680527,13695853,13761460,13867661,14096035,14484854,15281887,16427320,18180172,20486631,23320674,26049425,28720008,30584261,32197983,32631485,32758343,32020978,31382379,30439634,30172433,29713392,29686619,29546577,29837800,30331296,31332759,32793371,34748022,37146978,39532027,41633415,43222589,44257073,44820265,44714026,44123878,42775692,41230678,39357500,37462666,35454318,33672258,31968343,30298497,28685221,27200839,25848686,24555795,23549678,22700197,21996433,21437942,21074116,20732448,20507478,20246887,20092191,19940943,19716635,19514981,19340632,19075131,18783852,18447237,18024393,17469999,16882927,16313922,15813613,15323191,14924777,14512489,14107502,13754932,13415277,13060582,12681175,12352375,12017310,11634839,11264470,10895316,10496541,10040724,9645969,9177898,8736353,8235074,7771065,7301385,6863708,6415016,6030166,5599482,5235048,4878150,4553475,4251637,3936463,3688191,3436163,3221134,3018161,2846432,2693770,2561126,2423607,2314027,2220822,2125735,2048735,1981508,1927764,1875477,1821980,1788249,1759758,1732587,1705331,1687662,1664889,1631903,1615790,1583789,1563444,1531158,1504058,1472551,1424398,1398210,1349249,1313084,1253890,1209073,1159207,1110243,1065288,1014918,954400,921119,872800,833271,788581,744654,710730,683702,646301,611389,580061,551906,532716,512484,492852,474966,455783,436461,421138,402006,392012,377180,364822,355809,339392,330187,315899,302715,291758,281996,270797,258268,256872,240723,231960,222111,216466,213050,202639,196047,192186
A10,102797,129189,156753,186750,222909,273684,309378,366120,418191,471077,538995,618439,704000,794977,898455,1050621,1207880,1443899,1760910,2112854,2570042,3053083,3633237,4208526,4856697,5481911,6123108,6726249,7330347,7843589,8377116,8890042,9354431,9821588,10289071,10776386,11321344,11888591,12580456,13284326,13926092,14578369,15231011,15968120,16858663,17746013,18538454,18813948,18915036,18572268,18237071,17489748,16909373,16392551,15927257,15493059,15222160,15011652,14841737,14708485,14599356,14557433,14507637,14521471,14547691,14542482,14540183,14531966,14406610,14426356,14330264,14369140,14319438,14399158,14450144,14687368,15066666,15785740,16794383,18453285,20618636,23225159,25852532,28360266,30178377,31679503,32152459,32249548,31404128,30839014,29980308,29758598,29291464,29219479,29154512,29445850,29951755,30919330,32419617,34334135,36712658,39107481,41209316,42725458,43857159,44443736,44343543,43788294,42476482,41000757,38997502,37086722,35178322,33395166,31629409,29999019,28413534,26960511,25554950,24317691,23321692,22433559,21813640,21256973,20858075,20492255,20271546,20045006,19880617,19659839,19515881,19342500,19150498,18887321,18601374,18230498,17803812,17256361,16716539,16165898,15673503,15179053,14779331,14378578,13977507,13636794,13279173,12906241,12567890,12262290,11912876,11516809,11184353,10798803,10396722,9973570,9560105,9096395,8652399,8142258,7708241,7240044,6798340,6367087,5961997,5562028,5185527,4848464,4520277,4212677,3935858,3681170,3427805,3204092,3008929,2839838,2667417,2528684,2417973,2306985,2207445,2113754,2042738,1971233,1908746,1862815,1822319,1786488,1752752,1731701,1704577,1679590,1648264,1640930,1605820,1586617,1563801,1530712,1493660,1466954,1428583,1398011,1346167,1306954,1256456,1216310,1159721,1123109,1063303,1008960,963076,919009,885887,836232,787574,743727,711710,688221,646143,615986,586859,560065,530266,520029,496282,479257,450809,435995,421923,408784,390113,385315,363346,354347,343280,326172,318035,304727,289672,282399,270194,265962,256364,244834,235089,226278,221914,211344,205847,197346,194056
